publishedAt,videoId,authorDisplayName,textDisplay,likeCount
2025-03-27T16:26:55Z,ygcodv_xrUE,@aguskusnawan5487,"Wili banyak drama ,demi konten pa pun di lakukan . Jdi pengen 🤮🤮🤮🤮🤮",0
2025-03-27T16:25:56Z,ygcodv_xrUE,@katorysaka8514,Hadeh mutar2 mulu si willi ngomongnya terlalu bertele-tele bobon sama om deddy kek cape denger dia ngomong apalagi gua,0
2025-03-27T16:24:53Z,ygcodv_xrUE,@SyakihSyakih123,"Brisik Willikebanyakan ngomong tai <a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=1263"">21:03</a>",0
2025-03-27T16:24:41Z,ygcodv_xrUE,@IwanGono,"Cuma wilie salim di dunia ini,yg kebelet buang air,,tp masih kefiktiran utk makan,agak laen ni org",0
2025-03-27T16:24:20Z,ygcodv_xrUE,@alfanmaulana1326,Harus nya jika wilie salim memang tulus dari hati untuk membantu itu tidak harus di aplod 😢untuk kejdian palembang,2
2025-03-27T16:23:14Z,ygcodv_xrUE,@MohammadYunus-rq7ge,Beda orang yang berpengalaman sama tidak bobo mantap👍,0
2025-03-27T16:22:57Z,ygcodv_xrUE,@andrisupyana4209,"Viral dulu biar dapet cuan baru klarifikasi,dan kalo britanya masih panas baru minta maaf, pinter juga Wili Salim bersandiwara nya",0
2025-03-27T16:22:45Z,ygcodv_xrUE,@Serui-Waropen-Erari,Top kritikan kang bobon,0
2025-03-27T16:22:43Z,ygcodv_xrUE,@SandiY-de8wy,"Sudah kau,,, dari cara omngan saja lagi GK jelas 😅",0
2025-03-27T16:21:32Z,ygcodv_xrUE,@zuhdidabrul7644,Pernah ngelihat yang Dateng TPI tidak di undang dan di situ dia mengusirnya dan tidak mau ah gmna ya videonya sdah GK da,0
2025-03-27T16:20:42Z,ygcodv_xrUE,@AdamBee-pz1ys,Cara ngomong kmu licik willy <br>Memang anjinf lho,0
2025-03-27T16:20:34Z,ygcodv_xrUE,@zuhdidabrul7644,Aku sudah curiga dari dulu dan GK begitu suka sama conten Willie salim,0
2025-03-27T16:19:47Z,ygcodv_xrUE,@haniponugroho8785,Liat wajahnya wili salim aja pingin njotos,0
2025-03-27T16:19:22Z,ygcodv_xrUE,@AdamBee-pz1ys,Jelas dri cri ngomong ny licik <br>Otak.lho duit bukan mau nolong pamer karma ingin tener,0
2025-03-27T16:18:24Z,ygcodv_xrUE,@luluknurjanah7657,Dari podcast ini kita bisa tau se plinplan dan se manipulatif apa si wili wkwkwk mbundet bgt klo ngmng ngalur ngidul ngeless melu kaya kebingungan cari alesan,0
2025-03-27T16:17:09Z,ygcodv_xrUE,@Nara-911,"D yt pro palembang, di tiktok pro willi banget jirr, para bocil ngep ngep 😂",0
2025-03-27T16:16:52Z,ygcodv_xrUE,@Figarahardji48,Ngalor ngidul will... Wil...,0
2025-03-27T16:16:29Z,ygcodv_xrUE,@agiterjal8399,"Baik kolep dengan Reza arab bon, karena elo sama reza arab sosok seleb yang manusia yang memanusiakan orang yg membutuhkan",0
2025-03-27T16:12:18Z,ygcodv_xrUE,@malindamel8183,"Si willy ni kalo ngomong lambat nian, cak planga plongo. Kesall nengar dio ngomong, alangkah leletttnyooo😅😂😂",0
2025-03-27T16:10:57Z,ygcodv_xrUE,@muhamadyesussss,Sayangnya konflik ini juga settingan guys wkekek,0
2025-03-27T16:10:44Z,ygcodv_xrUE,@lazyboy6541,mending denger willy wonka😂,0
2025-03-27T16:09:33Z,ygcodv_xrUE,@irfanvan2855,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=2016"">33:36</a> om Dedi jdi ngantuk 😂",0
2025-03-27T16:08:23Z,ygcodv_xrUE,@eddyardhy5546,Proses saja sampai sidang pengadilan.,0
2025-03-27T16:07:22Z,ygcodv_xrUE,@apriliasulistiyani8553,Bang bobon sehat2.terus masak besar n berbagi.semangat bang bobon,0
2025-03-27T16:07:15Z,ygcodv_xrUE,@arulmaulana1,Besok willy mau masak di depok sama ustd dery,0
2025-03-27T16:06:58Z,ygcodv_xrUE,@NurhidayatHidayat-d5f,Setingan masak daging 200 kilo ilang ngk ad yg liat klo di colong itu bnyk lo 200 kg,0
2025-03-27T16:06:01Z,ygcodv_xrUE,@gurbadutmu,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=1138"">18:58</a> : eh gimana wil masakannya udah mateng?<br><br>anjir ngakak gua bang😂",0
2025-03-27T16:05:12Z,ygcodv_xrUE,@Picofview,Wah willi salim bocah masalah 😂 yg ptg viewers followers dan cuan buat dia diri sendiri,0
2025-03-27T16:04:45Z,ygcodv_xrUE,@DwiSardizul,"Aku wong palembang,lemak nyo willi salim ni jadike pempek kapal selam daging nyo cocolke pake cuku",0
2025-03-27T16:04:43Z,ygcodv_xrUE,@dwirahmawati-s9d,Untuk follower Wili salim..please..unfolow semua,0
2025-03-27T16:04:11Z,ygcodv_xrUE,@sigitronomenggolo1157,Om tahan om 😂😂😂😂,0
